,Country,Happiness Score,GDP per Capita,Freedom,suicide_rate
0,Afghanistan,3.632,0.332,0.085,4.1
1,Albania,4.586,0.916,0.419,4.5
2,Algeria,5.295,0.979,0.077,2.5
3,Argentina,6.388,1.073,0.57,9.2
4,Armenia,4.321,0.816,0.26,2.1
5,Australia,7.272,1.34,0.647,12.4
6,Austria,7.139,1.341,0.617,15.7
7,Azerbaijan,5.201,1.024,0.43,4.0
8,Bahrain,6.105,1.338,0.594,8.6
9,Bangladesh,4.5,0.532,0.58,3.6
10,Belarus,5.483,1.039,0.307,22.8
11,Belgium,6.927,1.324,0.583,18.7
12,Benin,4.141,0.378,0.44,7.9
13,Bhutan,5.082,0.796,0.541,4.6
14,Bolivia,5.752,0.751,0.606,6.3
15,Bosnia and Herzegovina,5.129,0.915,0.28,10.8
16,Botswana,3.59,1.017,0.557,17.4
17,Brazil,6.419,0.986,0.493,7.0
18,Bulgaria,4.933,1.054,0.359,9.7
19,Burkina Faso,4.424,0.314,0.312,7.6
20,Burundi,2.905,0.091,0.065,6.3
21,Cambodia,4.433,0.549,0.696,4.9
22,Cameroon,4.975,0.535,0.454,8.9
23,Canada,7.328,1.33,0.653,12.0
24,Central African Republic,3.083,0.024,0.305,12.8
25,Chad,4.301,0.358,0.189,6.6
26,Chile,6.476,1.131,0.431,8.8
27,China,5.246,0.989,0.597,8.1
28,Colombia,6.26,0.96,0.531,4.0
29,Costa Rica,7.072,1.01,0.632,7.2
30,Croatia,5.321,1.115,0.38,16.4
31,Cyprus,5.762,1.229,0.423,4.2
32,Czech Republic,6.711,1.233,0.543,13.6
33,Denmark,7.555,1.351,0.683,11.4
34,Dominican Republic,5.302,0.982,0.578,5.2
35,Ecuador,5.973,0.889,0.556,8.1
36,El Salvador,6.167,0.806,0.461,6.0
37,Estonia,5.739,1.2,0.553,15.3
38,Ethiopia,4.35,0.308,0.452,5.4
39,Finland,7.632,1.305,0.681,16.2
40,France,6.489,1.293,0.52,14.2
41,Gabon,4.758,1.036,0.356,8.6
42,Georgia,4.34,0.853,0.375,9.4
43,Germany,6.965,1.34,0.586,12.9
44,Ghana,4.657,0.592,0.499,6.6
45,Greece,5.358,1.154,0.131,5.1
46,Guatemala,6.382,0.781,0.604,6.0
47,Guinea,3.964,0.344,0.394,6.9
48,Haiti,3.582,0.315,0.025,9.7
49,Honduras,5.504,0.62,0.459,2.0
50,Hungary,5.62,1.171,0.259,17.7
51,Iceland,7.495,1.343,0.677,10.8
52,India,4.19,0.721,0.539,12.6
53,Indonesia,5.093,0.899,0.538,2.4
54,Iraq,4.456,1.01,0.304,3.7
55,Ireland,6.977,1.448,0.614,9.9
56,Israel,6.814,1.301,0.533,5.4
57,Italy,6.0,1.264,0.281,6.7
58,Jamaica,5.89,0.819,0.575,2.3
59,Japan,5.915,1.294,0.553,16.7
60,Jordan,5.161,0.822,0.468,1.6
61,Kazakhstan,5.79,1.143,0.454,19.0
62,Kenya,4.41,0.493,0.504,6.0
63,Kuwait,6.083,1.474,0.554,2.8
64,Latvia,5.933,1.148,0.363,18.1
65,Lebanon,5.358,0.965,0.503,2.5
66,Lesotho,3.808,0.472,0.423,76.6
67,Liberia,3.495,0.076,0.419,4.4
68,Libya,5.566,0.985,0.496,5.8
69,Lithuania,5.952,1.197,0.35,27.4
70,Luxembourg,6.91,1.576,0.632,10.6
71,Madagascar,3.774,0.262,0.221,5.5
72,Malawi,3.587,0.186,0.531,5.6
73,Malaysia,6.322,1.161,0.356,5.4
74,Mali,4.447,0.37,0.367,4.1
75,Malta,6.627,1.27,0.645,6.0
76,Mauritania,4.356,0.557,0.129,3.1
77,Mauritius,5.891,1.09,0.584,8.7
78,Mexico,6.488,1.038,0.479,5.4
79,Moldova,5.64,0.657,0.232,14.4
80,Mongolia,5.125,0.914,0.395,18.6
81,Montenegro,5.347,1.017,0.259,21.2
82,Morocco,5.254,0.779,0.46,7.2
83,Mozambique,4.417,0.198,0.531,13.5
84,Myanmar,4.308,0.682,0.58,2.9
85,Namibia,4.441,0.874,0.519,9.9
86,Nepal,4.88,0.425,0.526,8.8
87,Netherlands,7.441,1.361,0.638,11.4
88,New Zealand,7.324,1.268,0.669,11.4
89,Nicaragua,6.141,0.668,0.527,4.5
90,Niger,4.166,0.131,0.39,5.3
91,Nigeria,5.155,0.689,0.462,3.5
92,Norway,7.594,1.456,0.686,12.0
93,Pakistan,5.472,0.652,0.334,8.9
94,Panama,6.43,1.112,0.597,2.9
95,Paraguay,5.681,0.835,0.541,6.0
96,Peru,5.663,0.934,0.53,2.8
97,Philippines,5.524,0.775,0.643,2.2
98,Poland,6.123,1.176,0.546,12.7
99,Portugal,5.41,1.188,0.562,11.7
100,Qatar,6.374,1.649,0.654,5.8
101,Romania,5.945,1.116,0.528,10.2
102,Rwanda,3.408,0.332,0.636,5.6
103,Saudi Arabia,6.371,1.379,0.509,6.1
104,Senegal,4.631,0.429,0.406,6.1
105,Serbia,5.398,0.975,0.288,11.3
106,Sierra Leone,4.571,0.256,0.355,6.6
107,Singapore,6.343,1.529,0.631,9.4
108,Slovenia,5.948,1.219,0.633,17.8
109,Somalia,4.982,0.0,0.674,8.0
110,South Africa,4.724,0.94,0.516,24.1
111,South Sudan,3.254,0.337,0.112,3.8
112,Spain,6.31,1.251,0.449,7.8
113,Sri Lanka,4.471,0.918,0.585,14.2
114,Sweden,7.314,1.355,0.659,14.9
115,Switzerland,7.487,1.42,0.66,14.5
116,Tajikistan,5.199,0.474,0.292,4.2
117,Tanzania,3.303,0.455,0.481,4.2
118,Thailand,6.072,1.016,0.637,8.8
119,Togo,3.999,0.259,0.434,8.7
120,Tunisia,4.592,0.9,0.271,3.2
121,Turkmenistan,5.636,1.016,0.417,5.7
122,Uganda,4.161,0.322,0.45,4.4
123,Ukraine,4.103,0.793,0.163,21.9
124,United Arab Emirates,6.774,2.096,0.284,6.0
125,United Kingdom,7.19,1.244,0.464,8.1
126,United States,6.886,1.398,0.547,15.7
127,Uruguay,6.379,1.093,0.625,21.2
128,Uzbekistan,6.096,0.719,0.724,8.6
129,Vietnam,5.103,0.715,0.618,7.6
130,Zambia,4.377,0.562,0.503,8.1
131,Zimbabwe,3.692,0.357,0.406,14.0
